"id"	"sex"	"beep"	"pa1"	"pa2"	"pa3"	"na1"	"na2"	"na3"	"na4"
1	"female"	1	2	7	4	4	1	3	2
1	"female"	2	1	6	4	6	1	5	3
1	"female"	3	1	6	2	4	1	3	1
1	"female"	4	2	7	4	6	1	5	3
1	"female"	5	3	7	3	4	1	3	2
1	"female"	6	2	7	3	5	2	4	3
1	"female"	7	1	6	1	5	1	6	5
1	"female"	9	1	5	1	6	2	4	1
1	"female"	10	2	5	4	4	1	3	3
1	"female"	11	2	6	3	5	3	5	4
1	"female"	12	1	6	1	6	3	7	4
1	"female"	15	1	7	3	6	1	5	4
1	"female"	16	2	7	2	4	1	3	1
1	"female"	18	1	5	1	5	3	5	3
1	"female"	21	1	6	3	5	1	4	1
1	"female"	22	1	7	2	6	1	4	4
1	"female"	23	1	6	2	5	1	4	2
1	"female"	24	1	7	2	7	1	5	4
1	"female"	25	1	7	3	4	1	4	2
1	"female"	26	1	5	1	6	1	5	2
1	"female"	27	2	7	4	4	1	2	1
1	"female"	28	2	7	3	6	2	4	3
1	"female"	29	1	6	3	4	2	4	3
1	"female"	30	2	6	2	4	1	2	1
1	"female"	34	2	7	4	5	1	5	3
1	"female"	35	1	5	2	6	3	4	2
1	"female"	36	3	7	4	5	1	2	2
1	"female"	38	2	7	2	5	1	3	2
1	"female"	40	1	5	2	5	1	4	4
2	"male"	1	2	3	3	4	3	2	4
2	"male"	2	5	6	5	2	1	1	1
2	"male"	4	2	4	3	4	2	1	3
2	"male"	5	2	5	2	4	3	1	4
2	"male"	7	1	6	3	3	3	1	5
2	"male"	8	3	6	3	3	3	1	4
2	"male"	9	4	7	4	2	2	1	4
2	"male"	10	1	4	4	5	3	1	5
2	"male"	11	2	5	2	5	4	1	6
2	"male"	14	2	6	5	4	4	1	5
2	"male"	15	1	3	3	5	4	2	4
2	"male"	16	1	4	1	4	4	1	3
2	"male"	17	3	6	4	4	3	1	4
2	"male"	18	2	5	3	4	3	1	4
2	"male"	19	2	6	4	3	2	1	3
2	"male"	20	3	7	5	4	2	1	4
